selector_id,persona_name,persona_pressure,positive_gap_count,confounded_gap_count,confound_rate,invalid_rate,parse_failure_rate
free_form_random,neutral,0.0,12,8,0.6666666666666666,0.5333333333333333,0.4666666666666667
free_form_random,risk_seeking,0.6,12,10,0.8333333333333334,0.5333333333333333,0.4666666666666667
free_form_random,risk_seeking,0.85,12,12,1.0,0.5333333333333333,0.4666666666666667
free_form_random,loss_averse,0.6,12,11,0.9166666666666666,0.5333333333333333,0.4666666666666667
free_form_random,loss_averse,0.85,12,12,1.0,0.5333333333333333,0.4666666666666667
free_form_random,build_preserving,0.8,12,8,0.6666666666666666,0.5333333333333333,0.4666666666666667
grounded_cap_low,neutral,0.0,14,0,0.0,0.0,0.0
grounded_cap_low,risk_seeking,0.6,25,0,0.0,0.0,0.0
grounded_cap_low,risk_seeking,0.85,30,0,0.0,0.0,0.0
grounded_cap_low,loss_averse,0.6,9,0,0.0,0.0,0.0
grounded_cap_low,loss_averse,0.85,3,0,0.0,0.0,0.0
grounded_cap_low,build_preserving,0.8,16,0,0.0,0.0,0.0
grounded_cap_mid,neutral,0.0,1,0,0.0,0.0,0.0
grounded_cap_mid,risk_seeking,0.6,23,0,0.0,0.0,0.0
grounded_cap_mid,risk_seeking,0.85,30,0,0.0,0.0,0.0
grounded_cap_mid,loss_averse,0.6,2,0,0.0,0.0,0.0
grounded_cap_mid,loss_averse,0.85,3,0,0.0,0.0,0.0
grounded_cap_mid,build_preserving,0.8,7,0,0.0,0.0,0.0
grounded_cap_high,neutral,0.0,0,0,0.0,0.0,0.0
grounded_cap_high,risk_seeking,0.6,21,0,0.0,0.0,0.0
grounded_cap_high,risk_seeking,0.85,29,0,0.0,0.0,0.0
grounded_cap_high,loss_averse,0.6,1,0,0.0,0.0,0.0
grounded_cap_high,loss_averse,0.85,3,0,0.0,0.0,0.0
grounded_cap_high,build_preserving,0.8,5,0,0.0,0.0,0.0
